,,keep,#,Company,Symbol,Weight,Price,Chg,% Chg,Permno,,,,,,,
,,,215,Discover Financial Services,DFS,0.096271,127.8,-0.78,(-0.61%),92121,79328,DFS,,,,,
,,,216,Ross Stores Inc.,ROST,0.095528,107.82,0.89,-0.83%,91556,ROST,,,,,,
,,,217,Phillips 66,PSX,0.094379,86.3,0.15,-0.17%,35596,13356,60310,PSX,,,,
,,,218,Welltower Inc.,WELL,0.094171,86.31,-0.02,(-0.02%),79533,89632,WELL,,,,,
,,,219,SBA Communications Corp. Class A,SBAC,0.093619,338.51,-3.18,(-0.93%),86996,SBAC,,,,,,
,,,220,State Street Corporation,STT,0.093617,103.33,0.98,-0.96%,20037,47976,72726,STT,,,,
,,,221,International Flavors & Fragrances Inc.,IFF,0.093232,132.74,-13.43,(-9.19%),40272,IFF,,,,,,
,,,222,Electronic Arts Inc.,EA,0.093087,133.51,2.71,-2.07%,38543,75828,EA,,,,,
,,,223,Ameriprise Financial Inc.,AMP,0.092723,328.2,2.17,-0.67%,90880,27051,AMP,,,,,
,,,224,Xcel Energy Inc.,XEL,0.092401,68.64,0.04,-0.06%,23931,79542,XEL,,,,,
,,,225,First Republic Bank,FRC,0.092203,208.09,2.83,-1.38%,10623,12448,92624,57162,27967,FRC,,
,,,226,Otis Worldwide Corporation,OTIS,0.092058,86.95,0.71,-0.82%,19286,OTIS,,,,,,
,,,227,Mettler-Toledo International Inc.,MTD,0.090971,"1,559.62",-11.81,(-0.75%),59950,85621,MTD,,,,,
,,,228,Biogen Inc.,BIIB,0.089973,225.34,-16.18,(-6.70%),76841,BIIB,,,,,,
,,,229,Match Group Inc.,MTCH,0.089393,125.75,-0.25,(-0.20%),10973,55299,87401,52637,15850,MTCH,,
,,,230,Allstate Corporation,ALL,0.088939,123.79,-0.03,(-0.02%),79323,75803,17224,ALL,,,,
,,,231,Corteva Inc,CTVA,0.088899,48.86,0.45,-0.93%,18592,CTVA,,,,,,
,,,232,Cintas Corporation,CTAS,0.088669,406.61,1.51,-0.37%,23660,CTAS,,,,,,
,,,233,CBRE Group Inc. Class A,CBRE,0.088416,106.48,1.2,-1.14%,90199,CBRE,,,,,,
,,,234,Keysight Technologies Inc,KEYS,0.088335,190,-1.7,(-0.89%),83669,47643,14939,KEYS,,,,
,,,235,Monster Beverage Corporation,MNST,0.088158,94.1,-0.48,(-0.51%),50470,84342,88031,MNST,,,,
,,,236,Williams Companies Inc.,WMB,0.087745,29.2,0.33,-1.14%,38156,WMB,,,,,,
,,,237,AvalonBay Communities Inc.,AVB,0.087037,250.72,1.51,-0.61%,80381,AVB,,,,,,
,,,238,ResMed Inc.,RMD,0.086767,244.06,5.69,-2.39%,81736,RMD,,,,,,
,,,239,Fastenal Company,FAST,0.086679,60.71,0.42,-0.70%,53517,11618,FAST,,,,,
,,,240,Kinder Morgan Inc Class P,KMI,0.085867,17.65,0.04,-0.23%,12558,51596,KMI,,,,,
,,,241,Valero Energy Corporation,VLO,0.085749,84.5,0.65,-0.78%,61671,85269,VLO,,,,,
,,,242,TransDigm Group Incorporated,TDG,0.085617,658.59,5.16,-0.79%,91152,TDG,,,,,,
,,,243,Fifth Third Bancorp,FITB,0.084704,49.25,0.2,-0.41%,34746,FITB,,,,,,
,,,244,Arthur J. Gallagher & Co.,AJG,0.084612,165.73,1.98,-1.21%,38093,AJG,,,,,,
,,,245,Verisk Analytics Inc,VRSK,0.08421,207.89,-0.79,(-0.38%),93089,VRSK,,,,,,
,,,246,Cummins Inc.,CMI,0.083452,231.66,-0.73,(-0.31%),66464,82682,41080,40133,42091,48282,CMI,
,,,247,Public Service Enterprise Group Inc,PEG,0.083283,66.04,0.19,-0.29%,23712,PEG,,,,,,
,,,248,AMETEK Inc.,AME,0.082462,167.71,25.13,-17.63%,10460,85257,AME,,,,,
,,,249,Twitter Inc.,TWTR,0.081161,40.28,-0.39,(-0.95%),86298,14295,TWTR,,,,,
,,X,250,Kroger Co.,KR,0.081137,47.16,-0.56,(-1.16%),16678,KR,,,,,,
,,,251,D.R. Horton Inc.,DHI,0.0805,99.9,1.17,-1.19%,16336,77661,DHI,,,,,
,,,252,ANSYS Inc.,ANSS,0.080451,373.8,4.46,-1.21%,83621,ANSS,,,,,,
